sentence,suggested ellipsis resolution,ellipsis type,source
Где ты был на каникулах? __ В Архангельске.,я был на каникулах,answer ellipsis,original
Когда мы пойдем в кино? __ Сразу после обеда,мы пойдем в кино,answer ellipsis,original
Когда ты в последний раз был в театре? __ Год назад.,я в последний раз был в театре,answer ellipsis,original
Почему в метро сегодня такие пробки? __ Потому что на синей линии авария.,в метро сегодня такие пробки,answer ellipsis,original
Как блогеры находят новых клиентов для своего бизнеса? __ Через Instagram-рекламу.,блогеры находят новых клиентов для своего бизнеса,answer ellipsis,original
Кому посвящено это стихотворение? __ Его няне.,это стихотворение посвящено,answer ellipsis,original
"Сколько человек пришло на мастер-класс? Около сорока __, хотя регистрировалось больше.",пришло на мастер-класс,answer ellipsis,original
О ком вы говорили вчера за ужином? __ О нашем бывшем однокласснике.,мы говорили вчера за ужином,answer ellipsis,original
"Где и когда ты научился играть на гитаре так хорошо? __ В университете, на первом курсе.",я научился играть на гитаре так хорошо,answer ellipsis,original
Кому он наврал? - __ Своей сестре.,он наврал,answer ellipsis,original
Где ты купила такие брюки? __ На рынке в Тольятти,я купила такие брюки,answer ellipsis,original
Где Вика записывает треки? __ На студии,Вика записывает треки,answer ellipsis,original
В каком спектакле играет этот актер? __ В Пер Гюнте.,этот актер играет,answer ellipsis,original
Какой у него никнейм в телеграмме? __ Бычий Цепень.,у него никнейм в телеграмме,answer ellipsis,original
Что он читает в свободное время? __ Посты про Индию и Пакистан.,он читает в свободное время,answer ellipsis,original
Какой у него любимый день недели? __ Суббота.,у него любимый день недели,answer ellipsis,original
Во сколько кафе сегодня закрывается? __ В 20:00.,кафе сегодня закрывается,answer ellipsis,original
Кто является владельцем сети гипермаркетов Ашан? Auchan Retail __.,является владельцем сети гипермаркетов Ашан,answer ellipsis,original
Где он учится? __ В МГУ.,он учится,answer ellipsis,original
Когда он вернется? __ В пятницу,он вернется,answer ellipsis,original
Кто Катин любимый писатель? __ Стивен Кинг.,Катин любимый писатель,answer ellipsis,original
Что вы ели на завтрак? __ Омлет с сосиской.,мы ели на завтрак,answer ellipsis,original
Когда Машу взяли на работу? __ В прошлом месяце.,Машу взяли на работу,answer ellipsis,original
Кого Олег позовет на бал? __ Свою одногруппницу Машу .,Олег позовет на бал,answer ellipsis,original
Где можно соотавить свои вещи? __ В гардеробе.,можно соотавить свои вещи,answer ellipsis,original
Кто был первым президентом США? Джордж Вашингтон __.,был первым президентом США,answer ellipsis,original
Сколько континентов на Земле? __ Шесть континентов.,на Земле,answer ellipsis,original
Где изобрели бумагу? В Китае __.,изобрели бумагу,answer ellipsis,original
Кто открыл Америку? Христофор Колумб __.,открыл Америку,answer ellipsis,original
Где живут пингвины? __ В Антарктиде и других холодных регионах.,пингвины живут,answer ellipsis,original
Где можно увидеть северное сияние? __ За Полярным кругом.,можно увидеть северное сияние,answer ellipsis,original
Когда была построена Великая Китайская стена? __ В III веке до н. э.,Великая Китайская стена была построена,answer ellipsis,original
"Какой бренд принадлежит Илону Маску? SpaceX, Tesla, Neuralink, The Boring Company и X (бывший Twitter) __.",принадлежат Илону Маску,answer ellipsis,original
"Что производит компания Samsung? __ Телевизоры, смартфоны, чипы, бытовую технику и даже корабли.",компания Samsung производит,answer ellipsis,original
Кто основал Amazon? Джефф Безос __.,основал Amazon,answer ellipsis,original
"Что изобрел Никола Тесла? __ Переменный ток, катушку Теслы и множество других электротехнических устройств.",Никола Тесла изобрел,answer ellipsis,original
Что у нас сегодня на ужин? __ Паста карбонара.,у нас сегодня на ужин,answer ellipsis,original
Как мало мы о них знаем: Кто заснул первым? Рептилии __!,заснули первыми,answer ellipsis,"[Кто заснул первым? // «Знание -- сила», 2003]"
Кого он искал сегодня в университете? __ Валерия Михайловича.,он искал сегодня в университете,answer ellipsis,original
Сколько стоит этот телефон? – Двадцать тысяч рублей __.,стоит этот телефон,answer ellipsis,original
Кто разбил вазу? – Кошка __.,разбила вазу,answer ellipsis,original
Кто забыл зонт в автобусе? – Молодой человек в чёрной куртке __.,забыл зонт в автобусе,answer ellipsis,original
Когда начался дождь? – __ Час назад.,дождь начался,answer ellipsis,original
Кто разговаривал в библиотеке? – Два студента __.,разговаривали в библиотеке,answer ellipsis,original
Что упало со стола? – Тарелка __.,упала со стола,answer ellipsis,original
Кто принёс эти документы? – Секретарь директора __.,принёс эти документы,answer ellipsis,original
Когда откроют новый магазин? – В следующем месяце __.,откроют новый магазин,answer ellipsis,original
Что подарят директору на юбилей? __ Красивый ежедневник с гравировкой.,директору на юбилей подарят,answer ellipsis,original
Где можно купить свежие фрукты? __ На рынке возле площади.,свежие фрукты можно купить,answer ellipsis,original
